School Name,State,Sport,TeamID,Notes
Abundant Life Christian High School,WI,Boys Baseball,155989,
Abundant Life Christian High School,WI,Boys Basketball,155276,
Abundant Life Christian High School,WI,Boys Football 8-Player,154196,
Abundant Life Christian High School,WI,Boys Golf,140521,
Abundant Life Christian High School,WI,Boys Track and Field,155898,
Abundant Life Christian High School,WI,Girls Basketball,155280,
Abundant Life Christian High School,WI,Girls Track and Field,155899,
Abundant Life Christian High School,WI,Girls Volleyball,153983,
Adams-Friendship High School,WI,Boys Baseball,141051,
Adams-Friendship High School,WI,Boys Basketball,141445,
Adams-Friendship High School,WI,Boys Cross Country,143386,
Adams-Friendship High School,WI,Boys Football,146070,
Adams-Friendship High School,WI,Boys Golf,142283,
Adams-Friendship High School,WI,Boys Soccer,142793,
Adams-Friendship High School,WI,Boys Track and Field,145430,
Adams-Friendship High School,WI,Boys Wrestling,144809,
Adams-Friendship High School,WI,Girls Basketball,141893,
Adams-Friendship High School,WI,Girls Cross Country,143047,
Adams-Friendship High School,WI,Girls Golf,152346,
Adams-Friendship High School,WI,Girls Soccer,144368,
Adams-Friendship High School,WI,Girls Softball,145048,
Adams-Friendship High School,WI,Girls Track and Field,145816,
Adams-Friendship High School,WI,Girls Volleyball,143723,
Adams-Friendship High School,WI,Girls Wrestling,149616,
Albany High School,WI,Boys Basketball,141631,
Albany High School,WI,Boys Cross Country,143490,
Albany High School,WI,Boys Track and Field,145566,
Albany High School,WI,Girls Basketball,139779,
Albany High School,WI,Girls Cross Country,143148,
Albany High School,WI,Girls Track and Field,145949,
Albany High School,WI,Girls Volleyball,143955,
Algoma High School,WI,Boys Baseball,141142,
Algoma High School,WI,Boys Basketball,141539,
Algoma High School,WI,Boys Cross Country,143491,
Algoma High School,WI,Boys Football 8-Player,147015,
Algoma High School,WI,Boys Soccer,142848,
Algoma High School,WI,Boys Track and Field,145567,
Algoma High School,WI,Girls Basketball,141987,
Algoma High School,WI,Girls Cross Country,143149,
Algoma High School,WI,Girls Softball,145191,
Algoma High School,WI,Girls Track and Field,145950,
Algoma High School,WI,Girls Volleyball,143838,
Almond-Bancroft High School,WI,Boys Baseball,141225,
Almond-Bancroft High School,WI,Boys Basketball,141632,
Almond-Bancroft High School,WI,Boys Football 8-Player,147157,
Almond-Bancroft High School,WI,Boys Track and Field,145568,
Almond-Bancroft High School,WI,Boys Wrestling,153856,
Almond-Bancroft High School,WI,Girls Basketball,142077,
Almond-Bancroft High School,WI,Girls Softball,145253,
Almond-Bancroft High School,WI,Girls Track and Field,145951,
Almond-Bancroft High School,WI,Girls Volleyball,143956,
Almond-Bancroft High School,WI,Girls Wrestling,153857,
Amherst High School,WI,Boys Baseball,141143,
Amherst High School,WI,Boys Basketball,141448,
